Date,Rainfall_mm
2000-01-01,0.0
2000-02-01,0.11
2000-03-01,0.01
2000-04-01,0.02
2000-05-01,271.14
2000-06-01,313.67
2000-07-01,820.45
2000-08-01,362.38
2000-09-01,97.85
2000-10-01,63.41
2000-11-01,4.37
2000-12-01,11.25
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.03
2001-04-01,1.57
2001-05-01,29.11
2001-06-01,510.09
2001-07-01,622.31
2001-08-01,429.62
2001-09-01,155.88
2001-10-01,120.24
2001-11-01,6.15
2001-12-01,0.0
2002-01-01,0.03
2002-02-01,0.11
2002-03-01,0.47
2002-04-01,2.06
2002-05-01,8.63
2002-06-01,498.92
2002-07-01,126.77
2002-08-01,581.79
2002-09-01,87.71
2002-10-01,17.29
2002-11-01,2.59
2002-12-01,0.21
2003-01-01,0.03
2003-02-01,8.41
2003-03-01,0.11
2003-04-01,0.76
2003-05-01,0.01
2003-06-01,710.1
2003-07-01,584.85
2003-08-01,380.55
2003-09-01,233.14
2003-10-01,50.96
2003-11-01,1.1
2003-12-01,0.16
2004-01-01,0.37
2004-02-01,0.03
2004-03-01,0.0
2004-04-01,0.06
2004-05-01,92.28
2004-06-01,376.96
2004-07-01,663.26
2004-08-01,949.59
2004-09-01,225.06
2004-10-01,27.3
2004-11-01,4.29
2004-12-01,0.01
2005-01-01,3.47
2005-02-01,0.0
2005-03-01,0.41
2005-04-01,13.56
2005-05-01,15.65
2005-06-01,799.32
2005-07-01,1095.38
2005-08-01,432.24
2005-09-01,776.41
2005-10-01,75.44
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,9.61
2006-04-01,0.01
2006-05-01,187.67
2006-06-01,441.71
2006-07-01,1122.56
2006-08-01,1052.65
2006-09-01,389.08
2006-10-01,142.46
2006-11-01,24.05
2006-12-01,0.35
2007-01-01,0.03
2007-02-01,0.35
2007-03-01,0.0
2007-04-01,8.47
2007-05-01,5.13
2007-06-01,902.25
2007-07-01,706.04
2007-08-01,609.34
2007-09-01,449.85
2007-10-01,5.6
2007-11-01,7.12
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.03
2008-03-01,6.91
2008-04-01,0.21
2008-05-01,3.31
2008-06-01,708.11
2008-07-01,627.03
2008-08-01,698.05
2008-09-01,513.22
2008-10-01,36.19
2008-11-01,2.71
2008-12-01,6.76
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,3.2
2009-04-01,0.54
2009-05-01,2.06
2009-06-01,221.99
2009-07-01,1052.5
2009-08-01,403.09
2009-09-01,277.45
2009-10-01,206.96
2009-11-01,109.36
2009-12-01,0.08
2010-01-01,0.35
2010-02-01,0.01
2010-03-01,6.02
2010-04-01,0.49
2010-05-01,11.74
2010-06-01,662.62
2010-07-01,1068.2
2010-08-01,872.43
2010-09-01,248.55
2010-10-01,195.25
2010-11-01,65.66
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.16
2011-03-01,0.05
2011-04-01,6.9
2011-05-01,2.1
2011-06-01,350.5
2011-07-01,1093.05
2011-08-01,629.81
2011-09-01,348.67
2011-10-01,166.83
2011-11-01,0.42
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,2.45
2012-05-01,1.83
2012-06-01,238.62
2012-07-01,583.05
2012-08-01,385.66
2012-09-01,408.01
2012-10-01,204.61
2012-11-01,0.34
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,6.72
2013-03-01,0.79
2013-04-01,0.01
2013-05-01,0.42
2013-06-01,932.22
2013-07-01,886.67
2013-08-01,233.98
2013-09-01,314.67
2013-10-01,88.57
2013-11-01,4.21
2013-12-01,2.19
2014-01-01,0.75
2014-02-01,0.43
2014-03-01,3.95
2014-04-01,2.1
2014-05-01,12.83
2014-06-01,75.97
2014-07-01,1307.43
2014-08-01,631.78
2014-09-01,262.4
2014-10-01,28.7
2014-11-01,19.39
2014-12-01,18.77
2015-01-01,0.85
2015-02-01,11.77
2015-03-01,40.27
2015-04-01,1.82
2015-05-01,33.98
2015-06-01,804.68
2015-07-01,281.76
2015-08-01,122.29
2015-09-01,307.96
2015-10-01,72.07
2015-11-01,29.46
2015-12-01,0.0
2016-01-01,0.38
2016-02-01,20.79
2016-03-01,3.13
2016-04-01,1.68
2016-05-01,9.39
2016-06-01,535.52
2016-07-01,1009.4
2016-08-01,684.2
2016-09-01,606.37
2016-10-01,100.44
2016-11-01,0.09
2016-12-01,0.03
2017-01-01,0.0
2017-02-01,0.13
2017-03-01,1.85
2017-04-01,0.18
2017-05-01,13.69
2017-06-01,600.76
2017-07-01,1012.11
2017-08-01,665.17
2017-09-01,472.09
2017-10-01,135.57
2017-11-01,0.94
2017-12-01,47.28
2018-01-01,2.07
2018-02-01,6.42
2018-03-01,1.48
2018-04-01,1.03
2018-05-01,5.22
2018-06-01,540.89
2018-07-01,969.61
2018-08-01,423.43
2018-09-01,99.12
2018-10-01,21.6
2018-11-01,6.6
2018-12-01,0.19
2019-01-01,0.28
2019-02-01,0.27
2019-03-01,0.66
2019-04-01,3.68
2019-05-01,0.43
2019-06-01,454.13
2019-07-01,1083.3
2019-08-01,666.94
2019-09-01,928.89
2019-10-01,192.61
2019-11-01,53.27
2019-12-01,2.85
2020-01-01,0.17
2020-02-01,0.19
2020-03-01,4.09
2020-04-01,5.46
2020-05-01,8.29
2020-06-01,462.71
2020-07-01,781.13
2020-08-01,1203.09
2020-09-01,361.3
2020-10-01,180.18
2020-11-01,0.49
2020-12-01,12.23
